Nome_Giocatore,Genere,Ranking_Fisso
Carlos Alcaraz,ATP,1
Jannik Sinner,ATP,2
Alexander Zverev,ATP,3
Novak Djokovic,ATP,4
Félix Auger-Aliassime,ATP,5
Taylor Fritz,ATP,6
Alex de Minaur,ATP,7
Lorenzo Musetti,ATP,8
Ben Shelton,ATP,9
Jack Draper,ATP,10
Alexander Bublik,ATP,11
Casper Ruud,ATP,12
Daniil Medvedev,ATP,13
Alejandro Davidovich Fokina,ATP,14
Holger Rune,ATP,15
Andrey Rublev,ATP,16
Jiri Lehecka,ATP,17
Karen Khachanov,ATP,18
Jakub Mensik,ATP,19
Tommy Paul,ATP,20
Francisco Cerundolo,ATP,21
Flavio Cobolli,ATP,22
Denis Shapovalov,ATP,23
Joao Fonseca,ATP,24
Tallon Griekspoor,ATP,25
Luciano Darderi,ATP,26
Cameron Norrie,ATP,27
Learner Tien,ATP,28
Arthur Rinderknech,ATP,29
Frances Tiafoe,ATP,30
Valentin Vacherot,ATP,31
Tomas Machac,ATP,32
Brandon Nakashima,ATP,33
Stefanos Tsitsipas,ATP,34
Corentin Moutet,ATP,35
Jaume Munar,ATP,36
Ugo Humbert,ATP,37
Alex Michelsen,ATP,38
Lorenzo Sonego,ATP,39
Arthur Fils,ATP,40
Gabriel Diallo,ATP,41
Alexandre Muller,ATP,42
Zizou Bergs,ATP,43
Grigor Dimitrov,ATP,44
Sebastian Baez,ATP,45
Daniel Altmaier,ATP,46
Nuno Borges,ATP,47
Sebastian Korda,ATP,48
Camilo Ugo Carabelli,ATP,49
Reilly Opelka,ATP,50
Fabian Marozsan,ATP,51
Miomir Kecmanovic,ATP,52
Jenson Brooksby,ATP,53
Alexei Popyrin,ATP,54
Marton Fucsovics,ATP,55
Matteo Berrettini,ATP,56
Valentin Royer,ATP,57
Giovanni Mpetshi Perricard,ATP,58
Tomas Martin Etcheverry,ATP,59
Aleksandar Kovacevic,ATP,60
Matteo Arnaldi,ATP,61
Kamil Majchrzak,ATP,62
Terence Atmane,ATP,63
Marcos Giron,ATP,64
Damir Dzumhur,ATP,65
Arthur Cazaux,ATP,66
Francisco Comesana,ATP,67
Gael Monfils,ATP,68
Adrian Mannarino,ATP,69
Ethan Quinn,ATP,70
Jacob Fearnley,ATP,71
Mariano Navone,ATP,72
Hubert Hurkacz,ATP,73
Mattia Bellucci,ATP,74
Marin Cilic,ATP,75
Jesper De Jong,ATP,76
Botic van de Zandschulp,ATP,77
Adam Walton,ATP,78
Filip Misolic,ATP,79
Cristian Garin,ATP,80
Alejandro Tabilo,ATP,81
Aleksandar Vukic,ATP,82
Hamad Medjedovic,ATP,83
Jan-Lennard Struff,ATP,84
Juan Manuel Cerundolo,ATP,85
James Duckworth,ATP,86
Raphael Collignon,ATP,87
Emilio Nava,ATP,88
Pablo Carreno Busta,ATP,89
Eliot Spizzirri,ATP,90
Quentin Halys,ATP,91
Roberto Bautista Agut,ATP,92
Pedro Martinez,ATP,93
Benjamin Bonzi,ATP,94
Alexander Shevchenko,ATP,95
Dalibor Svrcina,ATP,96
Hugo Gaston,ATP,97
Laslo Djere,ATP,98
Tristan Schoolkate,ATP,99
Shintaro Mochizuki,ATP,100
Vit Kopriva,ATP,101
Carlos Taberner,ATP,102
Yannick Hanfmann,ATP,103
Ignacio Buse,ATP,104
Roman Andres Burruchaga,ATP,105
Thiago Agustin Tirante,ATP,106
Luca Nardi,ATP,107
Jordan Thompson,ATP,108
Nikoloz Basilashvili,ATP,109
Yoshihito Nishioka,ATP,110
Tomas Barrios Vera,ATP,111
Mackenzie McDonald,ATP,112
Brandon Holt,ATP,113
Rinky Hijikata,ATP,114
Christopher O'Connell,ATP,115
Alexander Blockx,ATP,116
Borna Coric,ATP,117
Patrick Kypson,ATP,118
David Goffin,ATP,119
Dusan Lajovic,ATP,120
Elmer Moller,ATP,121
Bu Yunchaokete,ATP,122
Nicolas Jarry,ATP,123
Gregoire Barrere,ATP,124
Duje Ajdukovic,ATP,125
Otto Virtanen,ATP,126
Jurij Rodionov,ATP,127
Francesco Passaro,ATP,128
Pierre-Hugues Herbert,ATP,129
Seong-chan Hong,ATP,130
Marc-Andrea Huesler,ATP,131
Felipe Meligeni Alves,ATP,132
Gabriel Debru,ATP,133
Dino Prizmic,ATP,134
Henrique Rocha,ATP,135
Lukas Klein,ATP,136
Titouan Droguet,ATP,137
Mikhail Kukushkin,ATP,138
Andrea Pellegrino,ATP,139
Vilius Gaubas,ATP,140
Federico Agustin Gomez,ATP,141
Kyrian Jacquet,ATP,142
Daniel Elahi Galan,ATP,143
Facundo Bagnis,ATP,144
Benoit Paire,ATP,145
Martin Landaluce,ATP,146
Maks Kasnikowski,ATP,147
Matteo Gigante,ATP,148
Bernabe Zapata Miralles,ATP,149
Coleman Wong,ATP,150
Aryna Sabalenka,WTA,1
Iga Swiatek,WTA,2
Coco Gauff,WTA,3
Jasmine Paolini,WTA,4
Elena Rybakina,WTA,5
Zheng Qinwen,WTA,6
Jessica Pegula,WTA,7
Emma Navarro,WTA,8
Barbora Krejcikova,WTA,9
Mirra Andreeva,WTA,10
Daria Kasatkina,WTA,11
Karolina Muchova,WTA,12
Marta Kostyuk,WTA,13
Diana Shnaider,WTA,14
Beatriz Haddad Maia,WTA,15
Anna Kalinskaya,WTA,16
Leylah Fernandez,WTA,17
Katie Boulter,WTA,18
Donna Vekic,WTA,19
Linda Noskova,WTA,20
Paula Badosa,WTA,21
Elina Svitolina,WTA,22
Naomi Osaka,WTA,23
Victoria Azarenka,WTA,24
Anastasia Pavlyuchenkova,WTA,25
Caroline Garcia,WTA,26
Ekaterina Alexandrova,WTA,27
Yulia Putintseva,WTA,28
Dayana Yastremska,WTA,29
Yuan Yue,WTA,30
Anastasia Potapova,WTA,31
Wang Xinyu,WTA,32
Lulu Sun,WTA,33
Magda Linette,WTA,34
Magdalena Frech,WTA,35
Amanda Anisimova,WTA,36
Karolina Pliskova,WTA,37
Sofia Kenin,WTA,38
Sloane Stephens,WTA,39
Emma Raducanu,WTA,40
Elise Mertens,WTA,41
Jule Niemeier,WTA,42
Ons Jabeur,WTA,43
Marie Bouzkova,WTA,44
Elisabetta Cocciaretto,WTA,45
Katerina Siniakova,WTA,46
Marketa Vondrousova,WTA,47
Veronika Kudermetova,WTA,48
Wang Xiyu,WTA,49
Clara Tauson,WTA,50
Peyton Stearns,WTA,51
Diane Parry,WTA,52
Ashlyn Krueger,WTA,53
Viktoriya Tomova,WTA,54
Camila Osorio,WTA,55
Moyuka Uchijima,WTA,56
Lucia Bronzetti,WTA,57
Caroline Dolehide,WTA,58
McCartney Kessler,WTA,59
Jaqueline Cristian,WTA,60
Brenda Fruhvirtova,WTA,61
Erika Andreeva,WTA,62
Clara Burel,WTA,63
Elina Avanesyan,WTA,64
Nadia Podoroska,WTA,65
Greet Minnen,WTA,66
Mayar Sherif,WTA,67
Varvara Gracheva,WTA,68
Oceane Dodin,WTA,69
Harriet Dart,WTA,70
Martina Trevisan,WTA,71
Bernarda Pera,WTA,72
Anna Karolina Schmiedlova,WTA,73
Taylor Townsend,WTA,74
Renata Zarazua,WTA,75
Kamilla Rakhimova,WTA,76
Lesia Tsurenko,WTA,77
Sara Sorribes Tormo,WTA,78
Hailey Baptiste,WTA,79
Maria Timofeeva,WTA,80
Chloe Paquet,WTA,81
Cristina Bucsa,WTA,82
Anna Blinkova,WTA,83
Jessica Bouzas Maneiro,WTA,84
Zhu Lin,WTA,85
Sara Errani,WTA,86
Arantxa Rus,WTA,87
Petra Martic,WTA,88
Robin Montgomery,WTA,89
Aliaksandra Sasnovich,WTA,90
Laura Siegemund,WTA,91
Tatjana Maria,WTA,92
Tamara Korpatsch,WTA,93
Emina Bektas,WTA,94
Solana Sierra,WTA,95
Maya Joint,WTA,96
Suzan Lamens,WTA,97
Rebeka Masarova,WTA,98
Mai Hontama,WTA,99
Olivia Gadecki,WTA,100
Marina Stakusic,WTA,101
Sonay Kartal,WTA,102
Zeynep Sonmez,WTA,103
Alycia Parks,WTA,104
Ann Li,WTA,105
Kimberly Birrell,WTA,106
Sijia Wei,WTA,107
Polina Kudermetova,WTA,108
Sara Bejlek,WTA,109
Yafan Wang,WTA,110
Ella Seidel,WTA,111
Julia Riera,WTA,112
Lucrezia Stefanini,WTA,113
Panna Udvardy,WTA,114
Anna Bondar,WTA,115
Elena-Gabriela Ruse,WTA,116
Emiliana Arango,WTA,117
Anca Todoni,WTA,118
Elsa Jacquemot,WTA,119
Linda Fruhvirtova,WTA,120
Darja Semenistaja,WTA,121
Jil Teichmann,WTA,122
Astra Sharma,WTA,123
Taylah Preston,WTA,124
Iva Primorac,WTA,125
Mananchaya Sawangkaew,WTA,126
Leolia Jeanjean,WTA,127
Heather Watson,WTA,128
Yuriko Miyazaki,WTA,129
Arianne Hartono,WTA,130
Celine Naef,WTA,131
Nuria Parrizas Diaz,WTA,132
Eva Lys,WTA,133
Dominika Salkova,WTA,134
Anastasia Soboleva,WTA,135
Francisca Jorge,WTA,136
Nuria Brancaccio,WTA,137
Guiomar Maristany,WTA,138
Lanlana Tararudee,WTA,139
Alexandra Eala,WTA,140
Antonia Ruzic,WTA,141
Alina Korneeva,WTA,142
Simona Waltert,WTA,143
Miriam Bulgaru,WTA,144
Gao Xinyu,WTA,145
Lucija Ciric Bagaric,WTA,146
Hanna Chang,WTA,147
Giorgia Pedone,WTA,148
Victoria Jimenez Kasintseva,WTA,149
Katarzyna Kawa,WTA,150
